SITE NUMBER,Province,Price
524593,AB,1.5430000000000001
544222,AB,1.61
524545,AB,1.5659999999999998
524553,AB,1.571
524552,AB,1.564
519343,AB,1.639
524602,AB,1.6130000000000002
524590,AB,1.548
519354,AB,1.62
524550,AB,1.615
550975,AB,1.587
519340,AB,1.626
528508,AB,1.597
524596,AB,1.6059999999999999
524604,AB,1.5719999999999998
524591,AB,1.545
519347,AB,1.6
519349,AB,1.588
524599,AB,1.656
519341,AB,1.636
524597,AB,1.584
519353,AB,1.6019999999999999
523529,BC,2.146
524586,BC,1.83
519386,BC,2.271
524878,BC,1.6869999999999998
524583,BC,1.6669999999999998
524571,BC,1.88
541200,BC,2.145
524588,BC,1.8090000000000002
519359,BC,1.768
524580,BC,1.7690000000000001
524572,BC,1.774
519376,BC,2.276
522409,BC,1.8159999999999998
519389,MB,1.621
524618,MB,1.61
522586,MB,1.619
524600,MB,1.598
524549,MB,1.598
524879,ON,1.8630000000000002
524543,ON,1.7990000000000002
524621,ON,1.8330000000000002
547206,ON,1.8130000000000002
524882,ON,1.8769999999999998
524626,ON,1.671
524624,ON,1.8319999999999999
519417,ON,1.92
524556,ON,1.871
545520,ON,1.796
524558,ON,1.8319999999999999
546136,ON,1.818
546210,ON,1.818
524627,ON,1.902
524559,ON,1.626
524625,ON,1.621
524620,ON,1.8630000000000002
524565,ON,1.88
542139,ON,1.857
547205,ON,1.8130000000000002
550505,ON,1.818
519410,ON,1.838
524623,ON,1.913
541308,ON,1.8230000000000002
548525,QC,2.066
524106,QC,2.064
550625,QC,2.083
522463,QC,2.0669999999999997
519431,QC,2.066
522574,SK,1.587
519402,SK,1.695
524615,SK,1.5859999999999999
524562,SK,1.594
524612,SK,1.611
